-,-,-
-20,2108,-6
-36,2146,-99
-6,2391,-133
26,2287,-147
5,2220,-7
-45,2218,248
-3,2013,431
-56,2084,302
-8,2050,229
-16,2124,404
-62,2075,246
-42,2037,160
-33,2266,208
15,2190,176
2,2127,44
-5,2103,205
-6,2158,285
-85,2128,265
-96,2112,709
-109,2187,875
-124,2160,917
-79,2276,1134
-180,2368,885
-187,2167,842
-225,2218,471
-233,2358,14
-194,2241,-159
-254,2120,-602
-231,2130,-475
-122,2040,-644
-131,2174,-721
-83,2355,-1271
64,2784,-742
25,2522,-859
121,2526,-826
177,2806,-717
199,2974,-228
270,2595,-398
321,2626,-145
220,2779,18
171,2422,-87
154,2114,28
168,2208,250
108,1851,154
82,1694,495
45,1663,646
66,1487,1023
61,1238,986
186,1233,586
309,1359,584
357,1475,401
405,1939,295
528,1903,338
558,2089,226
627,2148,97
593,2116,204
586,2017,141
613,1958,-55
632,2158,137
630,2180,-28
644,2088,40
629,2158,1
654,2058,-92
625,2113,15
596,2178,44
642,2077,93
615,2098,66
583,2062,44
568,2080,92
539,2061,15
554,2019,37
568,2040,78


















-,-,-
-80,2105,-63
-82,2031,34
-121,2217,-33
-98,2202,-25
-99,2164,151
-106,2114,203
-106,2111,166
-96,2229,322
-148,2262,472
-128,2180,465
-116,2225,661
-197,2120,527
-211,2073,778
-288,2206,636
-325,2101,74
-324,1994,22
-369,2123,-415
-320,2126,-958
-241,2262,-747
-270,2478,-586
-252,2167,-905
-190,2297,-952
-152,2336,-955
-122,2465,-746
-79,2532,-793
-27,2543,-602
32,2693,-268
19,2843,-516
35,2932,-594
-39,2836,-283
-61,2652,17
-86,2542,187
-26,1844,573
-107,1934,550
-26,1578,281
67,1279,747
-5,1519,690
74,1424,386
239,1385,240
262,1764,125
360,1700,152
417,1881,160
415,2058,20
514,2067,-86
545,2035,-27
559,2139,-97
569,2051,-41
559,2128,33
551,2144,-10
565,2048,-74
561,2091,-24
525,2168,-8
524,2111,-46
546,2016,-94
537,2116,45
508,2076,8
542,2091,4
524,2025,-3
496,2069,-36
550,2076,-16
540,2063,-24
544,2045,-2
559,2148,2
539,2110,-83
542,2041,16
514,2118,8
520,2063,-77
552,2087,-55
532,2033,-22
550,2101,-90
571,2093,8
548,2013,-76


















-,-,-
-167,2106,-59
-148,2112,-191
-138,2185,-238
-146,2217,-210
-134,2211,-144
-131,2132,-71
-163,2191,-28
-180,2143,101
-189,2128,235
-148,2202,479
-191,2272,363
-219,2216,347
-159,2262,772
-261,2360,712
-270,2046,920
-358,2010,695
-424,2100,450
-547,2065,-498
-470,2377,-714
-417,2185,-794
-419,2044,-1021
-353,2327,-1182
-272,2229,-934
-312,2239,-1051
-207,2168,-945
-158,2178,-1054
-125,2286,-772
-80,2380,-735
-69,2460,-701
-26,2717,-584
-25,2903,-378
-74,2717,-362
-106,2823,-252
-90,2945,-215
-138,2651,113
-135,2515,63
-123,2430,-13
-151,2282,64
-113,1812,108
-99,1630,250
-81,1654,468
32,1307,386
189,1044,562
183,1389,513
337,1447,361
455,1414,151
500,1851,83
566,1916,93
615,1866,-64
674,1989,-24
687,2139,-40
682,1977,-20
706,2092,-41
693,2214,-112
679,2111,-60
671,2141,-101
691,2051,-43
667,2127,-100
705,2061,-109
680,1993,-105
684,2026,-73
652,2050,-2
654,1997,-30
638,2052,-32
626,2098,-10
632,2084,-51
656,2056,-91
622,2025,-53
640,2073,5
640,2006,-20
639,1999,-32
640,1990,-94


















-,-,-
-90,2119,59
-120,2165,-70
-100,2175,60
-124,2192,61
-109,2231,4
-148,2175,100
-85,2168,334
-119,2116,204
-137,2027,261
-163,2172,408
-166,2103,389
-167,2091,373
-65,2176,469
-132,2510,358
-114,2236,598
-257,1924,430
-334,2254,-106
-396,2513,-758
-341,2131,-962
-375,2489,-963
-297,2417,-913
-311,2445,-1019
-239,2417,-1228
-214,3178,-887
-218,2487,-829
-171,2803,-892
-142,3072,-714
-84,2692,-256
29,2577,-259
22,2524,-317
129,1920,-194
11,1759,60
93,1920,284
39,1661,136
239,1313,205
238,1376,405
239,1593,206
360,1256,239
370,1472,5
411,1890,17
475,1587,22
468,1885,-195
510,1922,-87
559,1901,-130
577,1820,-162
595,1980,-98
589,2119,-202
631,2051,-110
642,2051,-124
614,2190,-131
586,2083,-74
599,1961,-182
578,1987,-107
529,2143,-98
563,2000,-158
586,1925,-134
535,2209,-121
537,2023,-136
565,2019,-198
520,2143,-101
510,2025,-162
544,1961,-116
501,2016,-71
459,2130,-219
432,2020,-115
453,1833,-85
438,1954,35
457,2097,-68
485,1872,-177
507,1995,-155
463,2256,-102
462,2246,-102


















-,-,-
-149,2121,-149
-141,2134,-171
-146,2126,-30
-159,2132,-172
-126,2156,-205
-141,2131,-111
-176,2139,-191
-138,2141,-257
-126,2124,-119
-144,2127,-30
-132,2175,-113
-118,2158,-149
-131,2131,-100
-145,2165,-203
-121,2170,-131
-131,2185,-135
-173,2146,-160
-124,2207,138
-74,2236,427
-138,2165,671
-222,2050,901
-225,1967,973
-414,2046,646
-468,2019,344
-454,2161,-89
-516,2364,-525
-546,2282,-739
-570,2242,-781
-515,2367,-814
-476,2286,-988
-441,2138,-829
-420,2201,-676
-354,2124,-857
-323,1998,-686
-333,2140,-483
-382,2360,-687
-253,2248,-726
-252,2557,-552
-278,2881,-718
-105,2723,-690
-107,3039,-444
-185,2600,-417
-117,2673,-246
-127,2414,-92
-173,2336,-222
-99,2186,-162
-90,2135,-124
-117,2040,-52
-3,1849,232
16,1627,515
79,1408,368
152,1271,619
81,1759,318
330,1345,130
427,1333,175
374,1898,45
461,1812,-105
528,1851,-119
551,1951,-191
533,2120,-178
643,2012,-155
638,2048,-197
651,2140,-205
622,2171,-241
642,2024,-248
642,2075,-239
555,2194,-144
591,2023,-273
590,2027,-230
528,2112,-88
538,2005,-157


















-,-,-
-188,2196,-124
-221,2124,-259
-141,2100,-193
-185,2152,-184
-196,2127,-90
-211,2095,-64
-222,2049,101
-216,2152,251
-211,2244,38
-213,2140,72
-163,2114,300
-281,2223,439
-344,2132,398
-351,1930,300
-382,2460,31
-473,2410,-454
-393,2118,-429
-430,2169,-737
-410,2249,-767
-334,1965,-856
-402,1879,-1011
-318,2134,-954
-346,2384,-1093
-266,2232,-1058
-200,2455,-964
-165,2641,-822
-157,2529,-826
-99,2573,-564
-190,2943,-648
-126,2730,-603
-157,2413,-319
-170,2591,-375
-130,2328,-359
-58,2135,-187
-71,2036,41
-156,1813,333
-113,2168,260
-33,1553,251
12,1387,358
50,1327,344
124,1464,176
238,1476,10
297,1571,-119
319,1727,-52
382,1932,-191
475,1865,-291
535,1979,-157
463,2047,-321
545,2069,-381
570,2151,-264
502,2245,-185
521,2091,-254
486,2104,-205
446,2232,-225
461,2106,-276
454,2111,-217
426,2192,-205
449,2124,-215
454,2043,-248
440,2013,-287
433,2065,-256
440,2093,-234
434,1989,-212
412,2097,-261
433,2038,-313
417,2152,-197
428,2085,-298
451,2101,-228
455,2146,-166
434,2077,-201
397,2134,-312
425,2149,-293

















-,-,-
-173,2100,-105
-199,2115,-120
-190,2117,-134
-191,2137,-138
-168,2133,-78
-184,2109,-57
-216,2184,-83
-195,2162,-63
-225,2116,-122
-211,2113,-73
-194,2161,-63
-194,2202,-94
