-,-,-
484,2044,489
469,2062,505
470,2029,462
487,2034,450
479,2064,438
477,2019,430
500,2079,449
499,2034,529
482,2067,459
491,2024,450
482,2039,445
483,2049,432
509,2107,496
502,2166,472
541,2216,547
525,2237,613
516,2216,666
468,2138,668
503,2029,672
479,1989,659
459,1990,751
470,2029,773
489,1990,948
452,1923,890
438,1887,853
411,1793,839
407,1676,810
359,1631,672
371,1511,476
355,1389,285
354,1327,40
273,1288,-268
246,1332,-482
193,1473,-529
106,1728,-392
-28,2023,-583
-37,1963,-370
-117,2356,32
-152,2511,-72
-135,2371,-72
-198,2616,201
-310,2893,194
-312,2709,70
-278,2789,513
-440,3022,578
-401,2913,761
-515,2765,920
-605,2826,681
-629,2616,642
-690,2622,792
-724,2552,1038
-755,2486,1063
-715,2414,902
-535,2218,1061
-532,2297,1087
-472,2259,750
-297,2138,688
-243,2205,757
-241,2171,774
-190,2239,714
-121,2201,987
-99,2295,966
-32,2039,1009
24,1924,988
15,1885,835
91,1586,681
134,1166,288
238,725,-233
467,416,-774
671,570,-1033
819,1108,-835
783,1834,-882


















-,-,-
662,2044,193
647,2083,186
638,2085,199
663,2064,211
647,2059,166
647,2033,198
642,2066,208
646,2044,222
636,2041,247
618,2057,191
617,2036,188
629,2016,194
620,2097,179
623,2106,379
684,2310,984
584,2592,1482
465,2330,1438
429,1956,1124
472,1584,793
399,1347,632
486,1286,540
584,861,597
396,457,273
127,520,-549
-255,1104,-1729
-419,1526,-1912
-593,1694,-1008
-873,2785,-568
-915,3452,48
-804,3223,690
-795,2947,243
-580,2389,612
-854,2594,1272
-1126,2908,909
-950,2731,1245
-1184,2924,1206
-1166,2786,998
-1097,2704,914
-1068,2625,1106
-1058,2530,839
-929,2555,1045
-890,2460,1023
-805,2324,970
-665,2289,867
-573,2412,993
-440,2263,882
-271,2094,868
-170,2132,850
-110,2141,859
-67,1932,1032
-89,2005,1152
-69,1546,1285
-25,1153,886
168,743,186
444,235,-263
529,575,-345
496,1450,-303
674,1752,-339
726,1908,-241
714,2343,-416
806,2496,-345
831,2496,-175
854,2512,76
868,2310,125
852,2145,164
779,2091,321
702,2012,275
697,1898,299
684,1893,296
695,1854,342
671,1858,334
708,1898,336


















-,-,-
630,2028,431
656,2008,407
663,1942,386
659,1997,400
650,1992,396
633,2017,396
664,2011,468
666,2014,393
689,1980,397
687,2035,403
670,2020,397
664,2033,411
662,2078,444
656,2171,991
653,2359,1587
665,2393,1867
601,2296,1697
499,1748,1199
427,1327,534
531,992,214
639,374,255
580,68,601
113,847,154
-109,1177,-768
-182,1236,-1445
-266,1051,-128
-834,2346,683
-983,2437,234
-824,2357,1499
-1459,2878,2242
-1683,3253,745
-1235,2561,1357
-1723,2911,2422
-2151,3488,1251
-1876,3379,1665
-1982,3777,1299
-1747,3156,1509
-1626,3000,1504
-1442,2589,1412
-1212,2179,1580
-1039,1903,1446
-677,1712,1692
-532,1529,1434
-228,1345,1479
-172,1417,1250
-44,1177,1032
85,937,795
121,918,230
165,823,-393
330,815,-776
498,1054,-671
653,1261,-416
761,1491,-389
886,1789,-302
873,2203,-57
879,2509,72
871,2622,77
917,2446,104
896,2165,164
892,1994,233
805,2036,325
770,1969,382
727,2036,337
726,1947,333
700,1878,288
706,1908,311
720,1904,328
714,1919,372
733,2016,335
724,2044,328
687,2083,286
707,2054,260


















-,-,-
607,2062,451
583,2013,392
568,2051,340
583,2105,363
616,2098,411
626,2052,433
629,1978,425
659,2006,511
651,2019,578
679,2007,615
700,1826,604
723,1883,824
711,2161,1197
711,1957,1510
694,1329,1897
527,810,1832
424,28,834
244,-209,-1143
-96,887,-1668
-277,1503,-1669
-390,1886,-735
-1030,2835,-444
-1012,3181,-750
-763,2615,-101
-935,2131,1455
-1455,2991,828
-1187,2550,856
-1311,2032,1332
-1584,2260,1251
-1665,2260,1550
-1933,2474,1594
-1851,3093,1242
-1702,2876,1191
-1598,2586,1010
-1421,2421,857
-1376,2535,804
-1270,2349,796
-1213,2499,768
-1016,2309,741
-781,2013,802
-660,2090,888
-352,1825,997
-110,1415,1296
-42,1377,1333
77,1442,978
280,928,591
207,1058,129
193,963,-743
305,1183,-1368
456,1466,-1526
969,1105,-1286
988,1575,-586
934,2130,-164
974,2208,5
921,2258,73
816,2471,29
806,2145,-7
726,2014,48
658,2058,40
688,2087,147
684,2011,233
679,1982,182
702,2016,164
683,1999,152
690,1985,282
710,2091,91
783,1985,-12
797,1882,22
793,1925,91
762,2081,64
750,1971,98
748,2006,162


















-,-,-
613,2069,295
622,2040,273
648,2053,214
673,2056,237
644,2101,225
641,2044,247
622,2065,236
646,2075,367
612,2044,383
607,2052,305
620,2062,255
615,2030,336
607,2127,535
639,2192,895
646,2217,943
638,2083,766
601,1915,547
610,1686,553
556,1700,406
588,1450,338
633,1442,515
618,1175,447
424,983,645
127,1281,244
86,1330,-327
11,1007,-328
-389,1776,115
-711,2056,164
-883,1916,684
-1270,2677,916
-1437,3301,656
-1292,2574,1167
-1460,2400,1764
-1649,2635,1049
-1642,2381,2206
-1988,2707,1762
-1920,2978,1946
-1909,2613,1620
-1786,2702,1020
-1612,2445,1438
-1678,2137,1323
-1399,2543,1112
-1200,1946,1259
-876,1643,1185
-593,1534,1286
-434,1188,1062
-358,1635,820
-357,1820,403
-255,1416,91
120,1249,-233
289,993,-664
535,1038,-986
630,1221,-820
600,1654,-642
705,1906,-334
709,2351,-333
792,2076,-95
750,2106,-27
774,2011,37
781,1978,-83
770,1955,-85
736,2016,-83
723,2034,31
690,1975,112
675,1960,-30
700,2012,213
612,1967,208
655,2082,329
662,2168,293
676,2182,302
662,2183,180
675,2019,134


















-,-,-
590,2039,210
581,2053,238
590,2050,215
571,2037,203
612,2056,245
629,2100,226
605,2117,216
606,2079,212
601,2002,190
593,2000,261
596,2033,266
605,2038,279
648,2058,280
649,2032,240
635,2040,230
628,2062,230
636,2074,223
614,2081,231
601,2131,245
622,2191,353
661,2270,754
570,2413,1187
438,2459,1407
374,2455,1499
319,2131,1247
451,1751,1141
583,1006,735
664,654,295
684,568,-235
496,615,-1235
503,905,-1652
349,988,-1054
-270,1250,23
-849,2202,359
-869,2327,652
-1012,2321,1152
-1231,2921,1518
-1314,2555,761
-1239,2388,946
-1527,2539,1259
-1560,2707,1097
-1363,2502,1374
-1370,2566,1727
-1417,2732,1789
-1569,2898,1440
-1557,2732,1326
-1473,2788,1159
-1401,2604,1021
-1234,2423,1114
-1032,2138,1347
-811,1927,1711
-716,1776,1942
-555,1879,1701
-362,1479,1177
-253,1488,656
-86,1086,80
172,824,-305
349,805,-605
569,734,-696
688,1200,-679
744,1646,-200
746,1907,-251
804,1939,-154
785,2005,-219
834,1947,-269
768,2061,-301
798,2141,-172
810,2184,-62
813,2091,-61
811,1996,129
724,2070,129
678,2020,162


















-,-,-
631,2114,350
630,2140,269
628,2082,251
597,2068,223
609,2009,233
601,1987,226
608,1985,260
603,2010,291
619,2062,229
634,2027,279
617,2074,309
615,2139,247
649,2060,238
649,2140,225
652,2210,313
688,2289,753
650,2510,1225
583,2496,1140
559,2340,1188
542,2059,1235
475,1280,1108
513,900,1278
495,736,1030
529,96,-484
503,-242,-1183
-29,158,-835
-789,1800,-376
-1169,1840,-132
-1621,1843,-351
-2069,2413,561
-2026,2805,1568
-2081,2468,1167
-1787,2140,1371
-1887,2155,1244
-2089,2285,993
-2201,2293,1198
-2357,2536,1056
-2424,2765,1221
-2207,2404,1306
-2094,2690,2006
-2117,2655,1676
-1692,2326,1724
-1421,2349,1751
-1092,2081,1646
-835,1770,1554
-593,1858,1367
-418,1514,1248
-159,1130,1277
2,932,874
125,815,451
195,701,-395
301,758,-1287
442,1157,-1500
524,1710,-1332
603,1905,-859
743,2003,-413
910,1875,-21
970,1800,210
1008,1865,248
972,1878,243
931,1891,154
858,1981,-14
834,1973,41
809,2074,86
776,2067,163
769,2078,153
785,1933,194
740,1911,255
663,2101,183
688,2019,211
640,2116,229
621,2119,211


















-,-,-
136,-22,152
-75,164,-875
-748,680,-2091
-988,2791,-1601
-1054,3660,-1561
-646,2610,-1771
-584,2380,-1231
-640,1923,444
-1256,3008,37
-1019,2579,179
-1240,2256,1440
-1647,3644,911
-1324,2866,1087
-1266,2449,1610
-1432,2819,1766
-1414,2387,1397
-1201,2050,1379
-1322,2113,1629
-1418,2488,1685
-1393,2411,2150
-1404,2677,2161
-1218,2683,1770
-929,1941,1712
-745,1679,1248
-295,1046,1012
-121,1171,618
56,1015,706
80,1026,-163
353,381,-1062
614,101,-1975
942,570,-1385
707,1598,-1272
817,1904,-642
757,2423,-400
872,2374,-139
952,2146,-2
961,2062,40
923,1996,122
857,2016,81
778,2046,-97
807,1950,98
742,2036,92
781,1938,214
775,1916,179
749,1979,182
726,2040,60
742,1994,151
695,2031,148
691,2080,30
710,2020,110
707,2069,183
674,2105,169
734,2047,84
749,1948,151
721,2005,190
718,1963,138
722,1933,98
670,2007,80
672,2028,108
680,2066,144
698,2019,118
719,1962,164
712,2018,149
725,2004,148
744,2006,119
724,2012,143
706,2069,74
715,2009,141
729,2037,117
718,2041,126
715,2006,155
706,2040,112


















-,-,-
711,2085,316
695,2023,340
679,2079,363
680,2024,348
700,1979,446
712,2024,333
717,2036,324
718,1983,304
709,1955,300
698,1956,340
701,1978,331
706,2012,434
698,2078,432
677,2058,453
667,2062,591
656,2041,892
632,2088,1260
614,2114,1158
635,1943,1005
629,1606,886
590,1142,931
472,855,266
486,690,-359
447,407,-1061
118,822,-1053
-294,1314,-673
-739,1489,-363
-1178,1908,376
-1723,2429,918
-1901,2846,935
-1929,2525,1327
-2039,3005,1448
-1995,2906,1658
-1950,2464,1797
-1979,2462,1736
-2104,2282,1986
-2140,2353,1711
-2027,2168,1811
-1978,2285,1478
-1800,2175,1177
-1524,1928,1773
-1430,1970,1592
